epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.76916,2.74222,14.6243,3.11511,0.54313,0.075,0.062,0.02513,1.94732,11.6936,2.03473,0.00011,0.00011,0.00011
2,15.6969,1.22253,3.77454,1.37195,0.42317,0.46027,0.38497,0.19852,1.61797,3.87495,1.55533,0.000222773,0.000222773,0.000222773
3,22.7939,0.90784,2.33813,1.13043,0.43203,0.62706,0.58503,0.38521,1.26036,1.88877,1.38616,0.000333268,0.000333268,0.000333268
4,30.1497,0.79632,1.75572,1.06113,0.46947,0.67915,0.65842,0.5425,0.80687,1.62038,1.03923,0.000441487,0.000441487,0.000441487
5,37.2961,0.72143,1.39371,1.02156,0.38261,0.56391,0.47351,0.37493,0.90132,2.4889,1.06985,0.0004802,0.0004802,0.0004802
6,44.2277,0.66967,1.16625,0.98457,0.55018,0.85835,0.7427,0.51465,1.26366,2.20029,1.42857,0.00047525,0.00047525,0.00047525
7,51.6526,0.67625,0.96351,0.98627,0.59223,0.73503,0.70462,0.49756,1.0941,1.3084,1.30528,0.0004703,0.0004703,0.0004703
8,58.9605,0.67875,0.83779,0.99384,0.66768,0.77508,0.80989,0.63132,0.89183,1.19045,1.11486,0.00046535,0.00046535,0.00046535
9,65.9334,0.6593,0.80371,0.98796,0.68209,0.82512,0.85462,0.6749,0.9047,0.98801,1.12005,0.0004604,0.0004604,0.0004604
10,72.9662,0.60009,0.73904,0.9546,0.69219,0.65978,0.78346,0.66711,0.71892,1.32617,1.02096,0.00045545,0.00045545,0.00045545
11,79.9362,0.58994,0.63805,0.93257,0.70269,0.88248,0.86435,0.70276,0.80348,0.89666,1.07917,0.0004505,0.0004505,0.0004505
12,87.0852,0.60476,0.58592,0.94924,0.76678,0.83957,0.875,0.7599,0.61885,0.86634,0.97808,0.00044555,0.00044555,0.00044555
13,94.2156,0.57138,0.57705,0.94183,0.73115,0.78381,0.83847,0.71237,0.70149,1.00159,1.0115,0.0004406,0.0004406,0.0004406
14,101.42,0.58335,0.54482,0.93922,0.75825,0.81156,0.84225,0.63536,0.9928,0.81958,1.19189,0.00043565,0.00043565,0.00043565
15,108.483,0.60885,0.48464,0.94338,0.7851,0.81257,0.90496,0.77557,0.63098,0.66391,1.00988,0.0004307,0.0004307,0.0004307
16,115.863,0.54593,0.43681,0.9222,0.80087,0.7827,0.88759,0.75352,0.66571,0.79731,0.9957,0.00042575,0.00042575,0.00042575
17,122.943,0.51741,0.44524,0.91096,0.79062,0.8341,0.88329,0.77766,0.55384,0.63101,0.95359,0.0004208,0.0004208,0.0004208
18,129.986,0.49472,0.44014,0.89588,0.8085,0.89038,0.89886,0.77845,0.62226,0.67066,0.98644,0.00041585,0.00041585,0.00041585
