epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96566,2.78659,14.5756,3.10805,0.2926,0.24227,0.06101,0.01668,1.87594,11.3306,1.89023,0.00011,0.00011,0.00011
2,15.1322,1.21696,3.66438,1.33868,0.24763,0.61374,0.35869,0.22275,1.40299,4.04574,1.31685,0.000222773,0.000222773,0.000222773
3,22.2218,0.8998,2.38843,1.09621,0.45828,0.57716,0.54199,0.37687,1.01741,1.95888,1.07831,0.000333268,0.000333268,0.000333268
4,28.9728,0.79121,1.69228,1.01674,0.5914,0.66405,0.68238,0.51445,0.85048,2.35285,1.03054,0.000441487,0.000441487,0.000441487
5,35.5988,0.7598,1.29308,0.99825,0.65868,0.64861,0.71256,0.47594,1.27044,3.02073,1.20084,0.0004802,0.0004802,0.0004802
6,42.1783,0.78072,1.18355,0.99931,0.63396,0.81413,0.84575,0.68384,0.79725,1.65771,0.95027,0.00047525,0.00047525,0.00047525
7,49.0267,0.6875,0.93488,0.95762,0.81504,0.85746,0.91024,0.76895,0.61107,0.80985,0.87051,0.0004703,0.0004703,0.0004703
8,55.7424,0.64015,0.85322,0.92943,0.82594,0.88785,0.9375,0.74989,0.78893,0.83659,0.95332,0.00046535,0.00046535,0.00046535
9,62.4396,0.63656,0.76736,0.93677,0.81191,0.91106,0.96023,0.75313,0.87265,0.75737,0.99077,0.0004604,0.0004604,0.0004604
10,69.1487,0.64895,0.65715,0.93593,0.75836,0.79939,0.88131,0.69078,0.9117,1.02358,1.02413,0.00045545,0.00045545,0.00045545
11,75.7761,0.66442,0.65409,0.93725,0.7276,0.71492,0.84416,0.74168,0.56735,1.00554,0.83488,0.0004505,0.0004505,0.0004505
12,82.5773,0.57696,0.61142,0.90602,0.86727,0.91753,0.96568,0.74458,0.90778,0.58076,0.96874,0.00044555,0.00044555,0.00044555
13,89.2146,0.56986,0.55699,0.90031,0.8573,0.8474,0.95088,0.79052,0.69864,0.72797,0.91278,0.0004406,0.0004406,0.0004406
14,96.0116,0.60847,0.59276,0.91719,0.87079,0.8837,0.93758,0.80901,0.58032,0.71053,0.85256,0.00043565,0.00043565,0.00043565
15,102.83,0.55569,0.52692,0.89397,0.89113,0.9032,0.96983,0.79996,0.75434,0.57379,0.91348,0.0004307,0.0004307,0.0004307
16,109.538,0.59643,0.48513,0.90703,0.88363,0.90642,0.95456,0.67987,1.13437,0.72346,1.12287,0.00042575,0.00042575,0.00042575
17,116.17,0.55553,0.45034,0.88613,0.90882,0.91554,0.97747,0.89598,0.45925,0.45487,0.80877,0.0004208,0.0004208,0.0004208
18,123.137,0.54864,0.43895,0.88319,0.80503,0.90939,0.94699,0.84401,0.54578,0.74481,0.82923,0.00041585,0.00041585,0.00041585
19,130.023,0.56712,0.40169,0.90159,0.88689,0.87221,0.96711,0.88503,0.44238,0.61098,0.80393,0.0004109,0.0004109,0.0004109
20,137.042,0.51494,0.38306,0.86589,0.93194,0.92892,0.98088,0.8304,0.67965,0.49389,0.88281,0.00040595,0.00040595,0.00040595
21,144.026,0.47777,0.39201,0.86787,0.9459,0.93329,0.99083,0.86495,0.61134,0.40293,0.85669,0.000401,0.000401,0.000401
22,150.849,0.49858,0.39196,0.86837,0.87162,0.89641,0.95879,0.84854,0.51295,0.60121,0.82998,0.00039605,0.00039605,0.00039605
23,157.639,0.46663,0.38068,0.86814,0.93204,0.92416,0.97167,0.83827,0.66586,0.4182,0.86169,0.0003911,0.0003911,0.0003911
24,164.454,0.4783,0.35987,0.86043,0.94283,0.93627,0.98101,0.91132,0.41027,0.36057,0.79972,0.00038615,0.00038615,0.00038615
25,171.228,0.46536,0.35231,0.85223,0.89197,0.94575,0.98354,0.91102,0.43307,0.42276,0.80999,0.0003812,0.0003812,0.0003812
26,177.863,0.43665,0.33364,0.85509,0.91655,0.88434,0.95895,0.88677,0.39607,0.43574,0.79223,0.00037625,0.00037625,0.00037625
27,184.515,0.4503,0.37544,0.85314,0.88561,0.85853,0.9736,0.85222,0.56203,0.60107,0.84636,0.0003713,0.0003713,0.0003713
28,191.261,0.43509,0.37581,0.84683,0.93746,0.86569,0.95828,0.86463,0.46617,0.55459,0.81473,0.00036635,0.00036635,0.00036635
29,197.911,0.44848,0.34118,0.85761,0.95054,0.95397,0.98528,0.9071,0.42425,0.32069,0.7959,0.0003614,0.0003614,0.0003614
30,204.792,0.45216,0.31893,0.8468,0.95228,0.93979,0.99083,0.91271,0.43899,0.34722,0.80504,0.00035645,0.00035645,0.00035645
31,211.562,0.42263,0.3295,0.84956,0.92335,0.92185,0.96861,0.88625,0.45628,0.45417,0.80865,0.0003515,0.0003515,0.0003515
32,218.31,0.42218,0.31899,0.8429,0.90908,0.91489,0.95839,0.84275,0.60307,0.52719,0.84158,0.00034655,0.00034655,0.00034655
33,224.878,0.42253,0.29534,0.83979,0.95373,0.92876,0.98528,0.91673,0.41867,0.35334,0.79136,0.0003416,0.0003416,0.0003416
34,231.533,0.45478,0.28571,0.85506,0.94058,0.94841,0.99292,0.93203,0.39935,0.32811,0.78848,0.00033665,0.00033665,0.00033665
35,238.254,0.39716,0.27698,0.83578,0.92376,0.96261,0.99083,0.90768,0.47132,0.30801,0.80804,0.0003317,0.0003317,0.0003317
36,244.826,0.39337,0.27737,0.83939,0.94405,0.91298,0.98615,0.89992,0.47925,0.37031,0.80583,0.00032675,0.00032675,0.00032675
37,251.377,0.39876,0.26896,0.83756,0.95947,0.95147,0.98319,0.89554,0.45323,0.40077,0.80913,0.0003218,0.0003218,0.0003218
38,258.058,0.38813,0.25333,0.82674,0.9404,0.95207,0.97536,0.88519,0.47288,0.40897,0.81225,0.00031685,0.00031685,0.00031685
