epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82291,2.74303,14.3723,3.09502,0.34966,0.175,0.07472,0.03004,2.11312,15.215,2.3413,0.00011,0.00011,0.00011
2,15.4794,1.21005,3.85105,1.33676,0.39219,0.4375,0.34818,0.18696,1.64666,7.28491,1.62525,0.000222773,0.000222773,0.000222773
3,22.7052,0.98789,2.64918,1.1568,0.34219,0.63977,0.52109,0.31546,1.42202,3.64169,1.30315,0.000333268,0.000333268,0.000333268
4,29.7348,0.85059,2.00002,1.07231,0.473,0.70218,0.65709,0.42865,1.23904,2.4959,1.18037,0.000441487,0.000441487,0.000441487
5,37.4444,0.76646,1.62537,1.0202,0.41981,0.65223,0.64912,0.47116,1.0192,5.17952,1.08303,0.0004802,0.0004802,0.0004802
6,44.6186,0.74866,1.3059,1.01293,0.81965,0.73471,0.8455,0.63526,0.96292,1.2932,1.07775,0.00047525,0.00047525,0.00047525
7,51.5993,0.72824,1.13698,1.00735,0.50335,0.84801,0.81111,0.64091,0.81936,1.7458,0.9927,0.0004703,0.0004703,0.0004703
8,58.6493,0.68703,0.98588,0.97476,0.74012,0.82873,0.8974,0.70955,0.84712,1.5379,1.00832,0.00046535,0.00046535,0.00046535
9,65.699,0.665,0.88007,0.96161,0.76187,0.75734,0.89918,0.70066,0.90144,1.08054,1.02352,0.0004604,0.0004604,0.0004604
10,72.7213,0.65564,0.76478,0.95682,0.59198,0.70681,0.71937,0.57117,0.83524,1.61225,1.00372,0.00045545,0.00045545,0.00045545
11,79.6958,0.60517,0.69101,0.92171,0.84066,0.90391,0.96631,0.72008,0.99373,0.8099,1.05078,0.0004505,0.0004505,0.0004505
12,86.7883,0.59448,0.66373,0.92483,0.82611,0.86089,0.90448,0.6698,1.02089,1.06237,1.06619,0.00044555,0.00044555,0.00044555
13,93.8253,0.62679,0.64253,0.9507,0.89666,0.85115,0.93856,0.81171,0.59926,0.71866,0.90046,0.0004406,0.0004406,0.0004406
14,101.009,0.57107,0.62033,0.91188,0.80963,0.89125,0.96132,0.78762,0.68871,0.69964,0.92547,0.00043565,0.00043565,0.00043565
15,108.129,0.53526,0.56259,0.89846,0.80743,0.85805,0.93296,0.79779,0.66975,0.87447,0.91128,0.0004307,0.0004307,0.0004307
16,115.398,0.52707,0.51378,0.89575,0.83774,0.77812,0.89806,0.74225,0.71842,0.88923,0.94291,0.00042575,0.00042575,0.00042575
17,122.822,0.53086,0.4639,0.89868,0.85009,0.90383,0.95443,0.83579,0.56742,0.64816,0.88164,0.0004208,0.0004208,0.0004208
18,129.735,0.52923,0.46073,0.89439,0.71536,0.88038,0.91566,0.79713,0.5948,0.80165,0.90282,0.00041585,0.00041585,0.00041585
19,136.831,0.51973,0.45627,0.88574,0.92361,0.86018,0.95012,0.83038,0.55209,0.62274,0.88063,0.0004109,0.0004109,0.0004109
20,143.733,0.51795,0.44519,0.89411,0.83595,0.94871,0.9754,0.87716,0.50349,0.57094,0.865,0.00040595,0.00040595,0.00040595
21,150.727,0.49534,0.42507,0.88244,0.91133,0.82048,0.94466,0.79882,0.64283,0.68193,0.89748,0.000401,0.000401,0.000401
22,157.777,0.48386,0.42005,0.87889,0.93662,0.9653,0.9825,0.83358,0.65784,0.46814,0.91795,0.00039605,0.00039605,0.00039605
23,164.978,0.49622,0.39273,0.88397,0.93011,0.91818,0.97896,0.79468,0.75939,0.54685,0.97367,0.0003911,0.0003911,0.0003911
24,172.045,0.45914,0.36816,0.859,0.83687,0.83317,0.94137,0.82023,0.59526,0.70392,0.91278,0.00038615,0.00038615,0.00038615
25,179.183,0.46426,0.3615,0.86537,0.85334,0.91438,0.96003,0.79206,0.73471,0.63183,0.93494,0.0003812,0.0003812,0.0003812
26,186.351,0.46108,0.35307,0.86801,0.93576,0.83012,0.94796,0.81408,0.62455,0.60162,0.90222,0.00037625,0.00037625,0.00037625
27,193.323,0.45443,0.33927,0.86257,0.9382,0.92526,0.95373,0.80244,0.68113,0.59584,0.90979,0.0003713,0.0003713,0.0003713
