epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43596,2.7573,14.3021,3.08867,0.81425,0.1,0.11407,0.06162,1.66842,10.9069,1.7262,0.00011,0.00011,0.00011
2,14.8348,1.23769,3.73089,1.35294,0.25778,0.79574,0.374,0.24543,1.37629,4.96255,1.35982,0.000222773,0.000222773,0.000222773
3,21.5736,0.98198,2.43183,1.12418,0.53214,0.65301,0.67516,0.45146,1.31925,2.62989,1.283,0.000333268,0.000333268,0.000333268
4,28.5597,0.81373,1.80169,1.03799,0.55821,0.7852,0.7878,0.61379,0.85892,3.03798,1.03769,0.000441487,0.000441487,0.000441487
5,35.6692,0.80508,1.40371,1.0317,0.70349,0.85778,0.88216,0.63769,1.07367,2.04768,1.15598,0.0004802,0.0004802,0.0004802
6,42.697,0.74269,1.19959,1.0029,0.56553,0.76005,0.79378,0.60513,0.96416,1.46422,1.07737,0.00047525,0.00047525,0.00047525
7,49.6392,0.70629,1.03576,1.00187,0.63677,0.86579,0.86691,0.71505,0.75699,1.31024,0.98199,0.0004703,0.0004703,0.0004703
8,56.8265,0.7009,0.95292,0.96585,0.69008,0.63218,0.729,0.61958,0.78916,1.90656,0.99892,0.00046535,0.00046535,0.00046535
9,63.6273,0.65054,0.81715,0.94876,0.84156,0.86438,0.92789,0.80292,0.63824,0.79155,0.9248,0.0004604,0.0004604,0.0004604
10,70.581,0.62092,0.69358,0.93968,0.83248,0.91542,0.94823,0.73506,0.9983,0.84882,1.12255,0.00045545,0.00045545,0.00045545
11,77.5015,0.59455,0.63699,0.92337,0.85326,0.73681,0.92633,0.78748,0.71208,1.02647,0.95256,0.0004505,0.0004505,0.0004505
12,84.7642,0.56649,0.58039,0.90914,0.83972,0.89341,0.95658,0.82386,0.7384,0.66015,0.95503,0.00044555,0.00044555,0.00044555
13,91.7188,0.60848,0.57193,0.92519,0.91151,0.87503,0.92958,0.82236,0.64651,0.70376,0.93587,0.0004406,0.0004406,0.0004406
14,98.8024,0.58832,0.55426,0.90581,0.91263,0.84854,0.92604,0.80445,0.5936,0.66404,0.90297,0.00043565,0.00043565,0.00043565
15,106.145,0.56693,0.50979,0.90598,0.84011,0.92082,0.92062,0.83395,0.49844,0.63111,0.86893,0.0004307,0.0004307,0.0004307
16,113.313,0.51445,0.46471,0.88222,0.84066,0.89209,0.92693,0.82831,0.54001,0.6019,0.88755,0.00042575,0.00042575,0.00042575
17,120.241,0.50131,0.49741,0.87717,0.86443,0.89575,0.92983,0.8276,0.53726,0.65281,0.87869,0.0004208,0.0004208,0.0004208
18,127.426,0.54171,0.4526,0.90154,0.91299,0.91902,0.94431,0.81185,0.67507,0.61196,0.92746,0.00041585,0.00041585,0.00041585
19,135.011,0.50278,0.44381,0.87912,0.89497,0.8602,0.9514,0.85154,0.53321,0.5563,0.88545,0.0004109,0.0004109,0.0004109
20,141.952,0.50655,0.41333,0.88541,0.86957,0.86282,0.91788,0.83193,0.48713,0.66459,0.85889,0.00040595,0.00040595,0.00040595
21,148.928,0.47877,0.4478,0.87164,0.89094,0.88291,0.92807,0.85948,0.42295,0.6882,0.84862,0.000401,0.000401,0.000401
22,156.011,0.46476,0.39513,0.85823,0.88035,0.88029,0.95225,0.8504,0.55371,0.59377,0.88939,0.00039605,0.00039605,0.00039605
23,163.084,0.47107,0.39619,0.87352,0.86572,0.87191,0.93454,0.84311,0.54229,0.54872,0.88581,0.0003911,0.0003911,0.0003911
24,170.383,0.51244,0.38672,0.88267,0.83726,0.90767,0.93974,0.8458,0.51692,0.55343,0.86907,0.00038615,0.00038615,0.00038615
25,177.453,0.45786,0.3741,0.86961,0.88297,0.8607,0.90724,0.83728,0.50978,0.64751,0.87131,0.0003812,0.0003812,0.0003812
26,184.655,0.44746,0.35284,0.86405,0.92794,0.90809,0.93431,0.83908,0.55759,0.57288,0.88634,0.00037625,0.00037625,0.00037625
27,191.998,0.44145,0.34032,0.85412,0.90455,0.88633,0.93425,0.86013,0.49358,0.53609,0.86713,0.0003713,0.0003713,0.0003713
