epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94192,2.79484,14.7233,3.13284,0.49795,0.175,0.10363,0.05146,1.52937,12.6815,1.68032,0.00011,0.00011,0.00011
2,15.802,1.23628,3.74602,1.39636,0.22216,0.50833,0.2604,0.16914,1.19658,4.13186,1.47765,0.000222773,0.000222773,0.000222773
3,23.3396,0.94151,2.48835,1.18214,0.51661,0.65071,0.59696,0.42665,1.10561,3.50595,1.39261,0.000333268,0.000333268,0.000333268
4,30.5671,0.82622,1.80847,1.09332,0.41685,0.67751,0.54587,0.40729,0.91187,2.48998,1.16566,0.000441487,0.000441487,0.000441487
5,37.6763,0.77375,1.43963,1.06134,0.52744,0.56305,0.70072,0.55741,0.81518,1.81078,1.10331,0.0004802,0.0004802,0.0004802
6,44.9193,0.73276,1.1352,1.02858,0.52179,0.62356,0.69703,0.52697,0.94879,1.82392,1.18372,0.00047525,0.00047525,0.00047525
7,52.052,0.71749,0.98849,1.01121,0.65341,0.52804,0.68657,0.552,0.77365,2.7731,1.08511,0.0004703,0.0004703,0.0004703
8,59.2326,0.67061,0.85356,0.99574,0.5129,0.70668,0.69782,0.57589,0.81124,1.95916,1.08441,0.00046535,0.00046535,0.00046535
9,66.4233,0.65711,0.79798,0.98468,0.76527,0.69849,0.83703,0.73101,0.59836,1.08265,0.96098,0.0004604,0.0004604,0.0004604
10,73.8798,0.61758,0.70199,0.94687,0.7704,0.77533,0.86502,0.73826,0.64807,0.99855,0.96521,0.00045545,0.00045545,0.00045545
11,81.0527,0.65323,0.63197,0.98944,0.81165,0.78772,0.86631,0.69325,0.81949,1.02384,1.11986,0.0004505,0.0004505,0.0004505
12,88.344,0.56518,0.59349,0.93834,0.8164,0.7723,0.89666,0.75214,0.70089,0.77597,1.01863,0.00044555,0.00044555,0.00044555
13,95.5044,0.58042,0.59195,0.94564,0.76067,0.83262,0.88134,0.75571,0.64795,1.03187,1.01813,0.0004406,0.0004406,0.0004406
14,102.732,0.55534,0.59531,0.91632,0.84896,0.8996,0.94524,0.84069,0.50516,0.68299,0.91071,0.00043565,0.00043565,0.00043565
15,109.951,0.52964,0.52334,0.92005,0.8738,0.86262,0.90938,0.83582,0.45623,0.71384,0.88284,0.0004307,0.0004307,0.0004307
16,117.136,0.52616,0.52375,0.90937,0.79963,0.80455,0.87126,0.74971,0.642,0.96391,0.98246,0.00042575,0.00042575,0.00042575
17,124.263,0.50375,0.43378,0.89527,0.83388,0.82981,0.90331,0.80424,0.49701,0.71346,0.90579,0.0004208,0.0004208,0.0004208
18,131.49,0.51064,0.45675,0.90697,0.80206,0.80178,0.91911,0.81115,0.54461,0.69099,0.93545,0.00041585,0.00041585,0.00041585
19,138.682,0.50436,0.47158,0.90417,0.83469,0.84524,0.89419,0.80603,0.45851,0.86697,0.89013,0.0004109,0.0004109,0.0004109
20,145.843,0.4859,0.42037,0.88417,0.84592,0.90944,0.91437,0.80794,0.54918,0.61975,0.91338,0.00040595,0.00040595,0.00040595
21,152.915,0.54375,0.3934,0.92425,0.9145,0.82163,0.9182,0.81173,0.51346,0.66457,0.91008,0.000401,0.000401,0.000401
22,160.079,0.52093,0.37347,0.91007,0.90648,0.90761,0.96311,0.85512,0.5174,0.52414,0.90777,0.00039605,0.00039605,0.00039605
23,167.3,0.48461,0.39415,0.88503,0.86288,0.84934,0.92063,0.81552,0.50133,0.69527,0.89963,0.0003911,0.0003911,0.0003911
24,174.476,0.45906,0.35079,0.87652,0.88276,0.86466,0.9383,0.86227,0.45547,0.64348,0.89035,0.00038615,0.00038615,0.00038615
25,181.718,0.44364,0.35486,0.8743,0.90154,0.83973,0.94372,0.86876,0.43668,0.58589,0.87147,0.0003812,0.0003812,0.0003812
26,189.339,0.45646,0.35646,0.87131,0.90129,0.87838,0.93844,0.85491,0.42723,0.50726,0.87836,0.00037625,0.00037625,0.00037625
27,196.515,0.43413,0.36226,0.86854,0.90446,0.85796,0.92505,0.82937,0.52648,0.71213,0.90522,0.0003713,0.0003713,0.0003713
28,204.017,0.43332,0.33917,0.86297,0.87745,0.83119,0.90284,0.81553,0.51098,0.75158,0.9119,0.00036635,0.00036635,0.00036635
29,211.214,0.48607,0.34469,0.88861,0.91297,0.82283,0.93191,0.8291,0.47591,0.54581,0.89277,0.0003614,0.0003614,0.0003614
30,218.336,0.42923,0.30324,0.85399,0.91997,0.93888,0.96931,0.88201,0.47022,0.43358,0.90207,0.00035645,0.00035645,0.00035645
31,225.541,0.42234,0.28994,0.85471,0.89195,0.92515,0.93833,0.86249,0.43023,0.47962,0.86811,0.0003515,0.0003515,0.0003515
32,232.572,0.42645,0.28167,0.85932,0.85312,0.90845,0.92108,0.83278,0.45161,0.59203,0.8817,0.00034655,0.00034655,0.00034655
33,239.61,0.42111,0.27902,0.86404,0.86607,0.88695,0.91836,0.79256,0.65958,0.66929,0.98779,0.0003416,0.0003416,0.0003416
34,246.825,0.4112,0.28952,0.85517,0.92406,0.91651,0.95318,0.8655,0.47247,0.41401,0.89324,0.00033665,0.00033665,0.00033665
35,254.038,0.39684,0.27414,0.84414,0.92301,0.80304,0.92674,0.8282,0.56641,0.6641,0.92977,0.0003317,0.0003317,0.0003317
36,261.218,0.40903,0.28868,0.84749,0.88942,0.91671,0.93935,0.84707,0.49384,0.43922,0.8953,0.00032675,0.00032675,0.00032675
37,268.44,0.38913,0.25936,0.84971,0.84861,0.86698,0.8731,0.77697,0.54748,0.69796,0.92302,0.0003218,0.0003218,0.0003218
38,275.576,0.40513,0.25715,0.85062,0.8769,0.81577,0.90149,0.83222,0.40394,0.5945,0.8544,0.00031685,0.00031685,0.00031685
39,282.786,0.4072,0.24901,0.85648,0.86931,0.89635,0.93144,0.84386,0.4761,0.4422,0.8903,0.0003119,0.0003119,0.0003119
40,289.95,0.41606,0.2542,0.86351,0.86855,0.88778,0.92924,0.85942,0.44612,0.45991,0.88295,0.00030695,0.00030695,0.00030695
41,297.052,0.38702,0.24248,0.84774,0.88177,0.89597,0.92816,0.87195,0.39146,0.44378,0.85892,0.000302,0.000302,0.000302
42,304.495,0.37026,0.23215,0.84181,0.90818,0.87707,0.94318,0.83861,0.54182,0.45478,0.91938,0.00029705,0.00029705,0.00029705
43,311.622,0.36232,0.23613,0.84041,0.92904,0.86828,0.94926,0.88673,0.39632,0.45776,0.86489,0.0002921,0.0002921,0.0002921
44,318.853,0.37888,0.25642,0.8442,0.92572,0.81181,0.89424,0.82293,0.43476,0.55837,0.8723,0.00028715,0.00028715,0.00028715
45,326.1,0.36902,0.23775,0.83866,0.91201,0.85329,0.90633,0.84536,0.39671,0.51124,0.85835,0.0002822,0.0002822,0.0002822
46,333.289,0.38012,0.23142,0.84232,0.91006,0.84619,0.91777,0.84961,0.41148,0.50766,0.86371,0.00027725,0.00027725,0.00027725
47,340.447,0.38064,0.22575,0.83889,0.87713,0.89494,0.92825,0.86238,0.36851,0.40944,0.85456,0.0002723,0.0002723,0.0002723
48,347.62,0.34239,0.21177,0.82495,0.90112,0.85256,0.91953,0.85877,0.41592,0.53002,0.87678,0.00026735,0.00026735,0.00026735
49,354.618,0.33126,0.21205,0.83445,0.88813,0.90213,0.92529,0.85196,0.43223,0.52119,0.87139,0.0002624,0.0002624,0.0002624
50,361.726,0.33028,0.21026,0.83167,0.88537,0.88609,0.92076,0.85629,0.37857,0.45325,0.85106,0.00025745,0.00025745,0.00025745
51,368.985,0.32055,0.20497,0.81854,0.9727,0.84901,0.91925,0.85582,0.41841,0.45527,0.87155,0.0002525,0.0002525,0.0002525
52,376.19,0.32492,0.21583,0.82505,0.92238,0.88799,0.94307,0.87146,0.41616,0.38686,0.86547,0.00024755,0.00024755,0.00024755
53,383.277,0.31081,0.21056,0.81974,0.90218,0.88387,0.9331,0.85953,0.4398,0.40282,0.8783,0.0002426,0.0002426,0.0002426
54,390.524,0.3323,0.21716,0.81883,0.90795,0.86762,0.93271,0.87636,0.39702,0.43272,0.84797,0.00023765,0.00023765,0.00023765
55,397.686,0.30516,0.20078,0.81761,0.90431,0.90096,0.94661,0.86299,0.45927,0.49467,0.88134,0.0002327,0.0002327,0.0002327
56,404.786,0.3151,0.2035,0.81744,0.90455,0.90495,0.95455,0.89804,0.38216,0.48773,0.83981,0.00022775,0.00022775,0.00022775
57,412.089,0.29393,0.19156,0.81515,0.91042,0.90532,0.95924,0.86994,0.46021,0.44773,0.88395,0.0002228,0.0002228,0.0002228
58,419.28,0.29278,0.19222,0.80483,0.89262,0.92302,0.9575,0.90291,0.35868,0.40574,0.83742,0.00021785,0.00021785,0.00021785
59,426.695,0.31094,0.18923,0.82136,0.86087,0.88024,0.94203,0.88035,0.37697,0.4647,0.84397,0.0002129,0.0002129,0.0002129
60,433.866,0.31543,0.1943,0.82122,0.84795,0.88568,0.93127,0.86402,0.38607,0.47103,0.85161,0.00020795,0.00020795,0.00020795
61,441.138,0.29858,0.18829,0.81057,0.91505,0.86677,0.93987,0.88807,0.35518,0.43877,0.84765,0.000203,0.000203,0.000203
62,448.298,0.27567,0.17997,0.8178,0.94507,0.85343,0.92826,0.84465,0.44681,0.47117,0.8703,0.00019805,0.00019805,0.00019805
63,455.459,0.26433,0.1737,0.80118,0.92954,0.86375,0.92535,0.85881,0.38607,0.49265,0.85246,0.0001931,0.0001931,0.0001931
64,462.534,0.26034,0.17582,0.79339,0.94586,0.87209,0.94091,0.87901,0.38776,0.45627,0.85144,0.00018815,0.00018815,0.00018815
65,469.809,0.26062,0.17869,0.79491,0.91518,0.87157,0.92619,0.87483,0.34044,0.41738,0.83255,0.0001832,0.0001832,0.0001832
66,476.939,0.24751,0.16876,0.79518,0.86443,0.92373,0.94091,0.86981,0.41092,0.43087,0.85778,0.00017825,0.00017825,0.00017825
