epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.95505,2.86455,15.0352,3.1885,0.04106,0.5,0.06635,0.03156,1.6115,12.7453,1.66696,0.00011,0.00011,0.00011
2,15.6672,1.21361,3.84341,1.34562,0.40063,0.62826,0.46679,0.32624,1.0326,5.52424,1.19226,0.000222773,0.000222773,0.000222773
3,22.7347,0.91571,2.33718,1.10685,0.45207,0.70642,0.5997,0.43464,1.06047,2.71008,1.1743,0.000333268,0.000333268,0.000333268
4,29.8157,0.84494,1.7311,1.06397,0.45366,0.81956,0.67338,0.46012,1.19032,3.19756,1.26081,0.000441487,0.000441487,0.000441487
5,36.9355,0.8097,1.5161,1.04248,0.5407,0.74654,0.74521,0.59379,0.81488,2.37767,1.0358,0.0004802,0.0004802,0.0004802
6,44.3062,0.70332,1.17665,0.98466,0.5652,0.75359,0.72509,0.60559,0.77769,1.85671,0.99237,0.00047525,0.00047525,0.00047525
7,51.7474,0.6936,1.00566,0.98339,0.68074,0.73456,0.8167,0.6867,0.69945,1.57957,0.95557,0.0004703,0.0004703,0.0004703
8,58.9473,0.65908,0.82643,0.95461,0.61457,0.7924,0.80647,0.67819,0.74279,1.52494,0.94796,0.00046535,0.00046535,0.00046535
9,66.5111,0.67147,0.84599,0.96533,0.73647,0.7512,0.85666,0.72208,0.7235,1.2865,0.94125,0.0004604,0.0004604,0.0004604
10,73.4888,0.64879,0.76414,0.95714,0.8012,0.7865,0.8724,0.72312,0.63924,1.0453,0.93483,0.00045545,0.00045545,0.00045545
11,80.4487,0.589,0.69633,0.9287,0.81086,0.83502,0.92464,0.79189,0.60898,0.85949,0.89663,0.0004505,0.0004505,0.0004505
12,87.704,0.5839,0.63412,0.92398,0.86152,0.82227,0.925,0.80251,0.55343,0.93561,0.88976,0.00044555,0.00044555,0.00044555
13,94.6165,0.56927,0.5906,0.91839,0.83597,0.86382,0.89704,0.79242,0.55534,0.70826,0.90044,0.0004406,0.0004406,0.0004406
14,101.676,0.57244,0.55345,0.9186,0.86705,0.85789,0.94075,0.84399,0.49982,0.59525,0.86026,0.00043565,0.00043565,0.00043565
15,108.775,0.5337,0.51288,0.89493,0.81033,0.94613,0.96955,0.87569,0.50921,0.57137,0.85395,0.0004307,0.0004307,0.0004307
16,115.749,0.5059,0.49197,0.89066,0.90656,0.81933,0.94081,0.81176,0.61773,0.77698,0.90965,0.00042575,0.00042575,0.00042575
17,122.668,0.53728,0.45833,0.89718,0.89156,0.91004,0.95694,0.84684,0.51362,0.55709,0.87222,0.0004208,0.0004208,0.0004208
18,129.864,0.5338,0.43206,0.89393,0.86237,0.90683,0.94001,0.83521,0.55051,0.63655,0.89495,0.00041585,0.00041585,0.00041585
19,136.814,0.50078,0.43534,0.87229,0.84212,0.85856,0.91533,0.79404,0.6113,0.68165,0.90956,0.0004109,0.0004109,0.0004109
20,143.918,0.50833,0.42947,0.88796,0.8015,0.85287,0.90398,0.77665,0.63023,0.75769,0.92324,0.00040595,0.00040595,0.00040595
21,150.824,0.5114,0.41436,0.87794,0.85406,0.89493,0.93426,0.83462,0.48877,0.6529,0.8672,0.000401,0.000401,0.000401
22,158.007,0.50026,0.38374,0.88761,0.90143,0.94377,0.96757,0.88207,0.47409,0.51486,0.88065,0.00039605,0.00039605,0.00039605
23,165.084,0.52348,0.3721,0.88921,0.82945,0.90412,0.93378,0.84869,0.4661,0.57378,0.84843,0.0003911,0.0003911,0.0003911
24,172.039,0.46221,0.34691,0.87027,0.90593,0.90964,0.97851,0.89934,0.43401,0.40362,0.84501,0.00038615,0.00038615,0.00038615
25,179.266,0.4822,0.35572,0.86759,0.90802,0.91456,0.97208,0.81051,0.69957,0.53533,0.92849,0.0003812,0.0003812,0.0003812
26,186.454,0.44905,0.36686,0.86065,0.84833,0.89497,0.94968,0.85455,0.46678,0.55424,0.85781,0.00037625,0.00037625,0.00037625
27,193.436,0.45012,0.36907,0.86441,0.80357,0.93573,0.9646,0.84307,0.56567,0.4615,0.89406,0.0003713,0.0003713,0.0003713
28,200.491,0.45906,0.34943,0.86463,0.86536,0.82715,0.93447,0.83826,0.50669,0.56565,0.84727,0.00036635,0.00036635,0.00036635
29,207.544,0.45677,0.31767,0.86254,0.90976,0.86173,0.9529,0.88723,0.41201,0.56137,0.82665,0.0003614,0.0003614,0.0003614
30,214.55,0.44285,0.30712,0.85837,0.86517,0.89873,0.94421,0.8713,0.43955,0.46027,0.84582,0.00035645,0.00035645,0.00035645
31,221.38,0.42775,0.31482,0.85246,0.86304,0.8658,0.94244,0.88263,0.40024,0.5467,0.81807,0.0003515,0.0003515,0.0003515
32,228.375,0.4368,0.30231,0.85345,0.91569,0.93902,0.96755,0.87023,0.46222,0.46103,0.85011,0.00034655,0.00034655,0.00034655
33,235.351,0.43504,0.27922,0.85911,0.89352,0.92669,0.97424,0.89682,0.41785,0.5055,0.83793,0.0003416,0.0003416,0.0003416
34,242.297,0.39097,0.25699,0.84988,0.88952,0.9428,0.97568,0.91111,0.40629,0.44504,0.83622,0.00033665,0.00033665,0.00033665
35,249.346,0.4091,0.26339,0.83966,0.8899,0.89377,0.96182,0.90278,0.37703,0.43637,0.82243,0.0003317,0.0003317,0.0003317
36,256.274,0.38974,0.26025,0.83273,0.90126,0.90802,0.96589,0.88814,0.41247,0.46994,0.83313,0.00032675,0.00032675,0.00032675
37,263.135,0.40158,0.27529,0.83747,0.8361,0.90094,0.9337,0.83579,0.48439,0.50918,0.86516,0.0003218,0.0003218,0.0003218
38,270.109,0.37278,0.25634,0.83651,0.92068,0.88111,0.91235,0.77654,0.63313,0.48697,0.90493,0.00031685,0.00031685,0.00031685
39,276.918,0.40488,0.25957,0.84069,0.91545,0.88644,0.94087,0.86224,0.44441,0.41171,0.84336,0.0003119,0.0003119,0.0003119
40,283.877,0.37197,0.25692,0.8317,0.90717,0.90586,0.96393,0.897,0.40753,0.37827,0.83822,0.00030695,0.00030695,0.00030695
41,291.005,0.37574,0.24485,0.82749,0.93013,0.89192,0.9577,0.89577,0.37909,0.49271,0.81971,0.000302,0.000302,0.000302
42,298.378,0.3877,0.23708,0.83189,0.9624,0.94448,0.97685,0.89045,0.43383,0.34105,0.84084,0.00029705,0.00029705,0.00029705
43,305.468,0.38174,0.23978,0.83733,0.94802,0.94813,0.97694,0.88622,0.45883,0.32428,0.85185,0.0002921,0.0002921,0.0002921
44,312.809,0.34333,0.23231,0.8196,0.91014,0.92348,0.95021,0.87014,0.42667,0.49016,0.83833,0.00028715,0.00028715,0.00028715
45,319.84,0.3628,0.24019,0.82463,0.89676,0.92066,0.92622,0.85984,0.39201,0.61937,0.82778,0.0002822,0.0002822,0.0002822
46,326.917,0.35051,0.2215,0.83375,0.92594,0.93898,0.95768,0.88586,0.40778,0.55321,0.83204,0.00027725,0.00027725,0.00027725
47,333.797,0.34618,0.22276,0.81999,0.91971,0.91193,0.965,0.91766,0.36054,0.51544,0.82041,0.0002723,0.0002723,0.0002723
