epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74516,2.82241,14.4787,3.19792,0.61598,0.06703,0.07254,0.03292,1.50464,12.2114,1.56224,0.00011,0.00011,0.00011
2,15.5186,1.18617,3.79613,1.31583,0.38533,0.53992,0.40035,0.23492,1.37815,7.955,1.54627,0.000222773,0.000222773,0.000222773
3,22.7909,0.92137,2.41734,1.10773,0.47455,0.70609,0.67092,0.44304,1.17985,3.23966,1.3305,0.000333268,0.000333268,0.000333268
4,30.0664,0.827,1.80572,1.05228,0.54119,0.77637,0.72639,0.60608,0.71497,3.4817,1.01526,0.000441487,0.000441487,0.000441487
5,37.1857,0.78692,1.46468,1.00994,0.6245,0.53743,0.71313,0.48886,1.24505,3.26708,1.34385,0.0004802,0.0004802,0.0004802
6,44.3844,0.75796,1.28243,1.01843,0.52433,0.5484,0.54542,0.43622,0.82486,3.16502,1.0951,0.00047525,0.00047525,0.00047525
7,51.7461,0.71042,1.0702,0.99866,0.53988,0.70457,0.79862,0.66837,0.68496,1.96748,1.00072,0.0004703,0.0004703,0.0004703
8,58.8895,0.66587,0.91076,0.96048,0.70256,0.86756,0.91512,0.77371,0.65144,1.36757,0.97528,0.00046535,0.00046535,0.00046535
9,66.1452,0.67618,0.85317,0.95918,0.78974,0.92123,0.93198,0.81251,0.61156,0.75821,0.95199,0.0004604,0.0004604,0.0004604
10,73.4004,0.60733,0.75788,0.93138,0.78408,0.82102,0.92839,0.79695,0.61775,0.80174,0.96487,0.00045545,0.00045545,0.00045545
11,80.5737,0.59294,0.74894,0.92619,0.78252,0.69665,0.83597,0.73111,0.58785,1.53416,0.93521,0.0004505,0.0004505,0.0004505
12,87.7604,0.58463,0.7033,0.91201,0.86315,0.88824,0.94545,0.77233,0.76755,0.84929,1.01412,0.00044555,0.00044555,0.00044555
13,94.9212,0.59781,0.62234,0.92569,0.8893,0.84166,0.94893,0.82454,0.62258,0.8716,0.95534,0.0004406,0.0004406,0.0004406
14,102.169,0.57038,0.55507,0.90108,0.88461,0.87274,0.94592,0.78624,0.78955,0.70183,1.03409,0.00043565,0.00043565,0.00043565
15,109.32,0.55397,0.51658,0.8993,0.906,0.94849,0.96253,0.85733,0.52681,0.49426,0.90522,0.0004307,0.0004307,0.0004307
16,116.622,0.53844,0.47033,0.89989,0.85491,0.90103,0.9495,0.76468,0.77272,0.60389,1.02403,0.00042575,0.00042575,0.00042575
17,123.91,0.55052,0.523,0.90392,0.8683,0.85436,0.93603,0.85534,0.44246,0.58384,0.88986,0.0004208,0.0004208,0.0004208
18,130.964,0.57736,0.48246,0.91038,0.85041,0.9173,0.9675,0.83814,0.61518,0.5264,0.96357,0.00041585,0.00041585,0.00041585
