epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70619,2.83472,14.2277,3.21854,0.43092,0.29976,0.06659,0.03264,1.74003,13.5006,1.96544,0.00011,0.00011,0.00011
2,15.443,1.18676,3.77101,1.358,0.39691,0.53422,0.41492,0.30139,1.07655,5.1531,1.24859,0.000222773,0.000222773,0.000222773
3,22.6993,0.89637,2.38526,1.12908,0.51014,0.57812,0.60914,0.43136,1.1077,1.86447,1.23389,0.000333268,0.000333268,0.000333268
4,29.7897,0.77397,1.80405,1.04446,0.45911,0.73292,0.65829,0.52069,0.81792,1.76787,1.02044,0.000441487,0.000441487,0.000441487
5,36.9115,0.75979,1.33933,1.0489,0.554,0.6166,0.64603,0.46099,1.0202,3.22863,1.1812,0.0004802,0.0004802,0.0004802
6,44.0619,0.7192,1.16162,1.01089,0.70479,0.51068,0.70132,0.54888,0.8602,1.7634,1.08847,0.00047525,0.00047525,0.00047525
7,51.3503,0.65694,1.00563,0.98413,0.71714,0.67519,0.7959,0.67384,0.64379,1.22887,0.92398,0.0004703,0.0004703,0.0004703
8,58.6253,0.63199,0.93608,0.97159,0.65866,0.73959,0.84138,0.71349,0.64889,1.43366,0.92959,0.00046535,0.00046535,0.00046535
9,65.8686,0.61399,0.8322,0.95137,0.82257,0.7254,0.8519,0.7522,0.60893,0.88725,0.90339,0.0004604,0.0004604,0.0004604
10,73.2087,0.61024,0.69485,0.95675,0.74526,0.67955,0.80128,0.70005,0.60541,1.20734,0.9007,0.00045545,0.00045545,0.00045545
11,80.3848,0.61025,0.65244,0.94984,0.75581,0.75726,0.82879,0.735,0.55206,1.08377,0.8893,0.0004505,0.0004505,0.0004505
12,87.556,0.59248,0.63466,0.94698,0.86824,0.74738,0.86963,0.75463,0.64162,0.8432,0.92575,0.00044555,0.00044555,0.00044555
13,94.5138,0.59396,0.58604,0.94022,0.8607,0.75555,0.89999,0.80149,0.53728,0.72884,0.8705,0.0004406,0.0004406,0.0004406
14,101.565,0.54766,0.5325,0.9192,0.77246,0.7924,0.86675,0.70719,0.75434,1.10147,0.97052,0.00043565,0.00043565,0.00043565
15,108.464,0.54299,0.50753,0.90388,0.74021,0.7809,0.84463,0.72629,0.60598,1.02,0.92492,0.0004307,0.0004307,0.0004307
16,115.428,0.54208,0.48003,0.91723,0.80659,0.86842,0.91818,0.82855,0.48198,0.81919,0.84902,0.00042575,0.00042575,0.00042575
17,122.416,0.52428,0.51589,0.90283,0.88853,0.84548,0.92231,0.78854,0.66423,0.65679,0.92683,0.0004208,0.0004208,0.0004208
18,129.312,0.51182,0.45353,0.90224,0.87338,0.78584,0.88444,0.79792,0.4756,0.74736,0.85828,0.00041585,0.00041585,0.00041585
19,136.533,0.48374,0.4178,0.89829,0.89924,0.79422,0.90337,0.77629,0.64514,0.66569,0.92442,0.0004109,0.0004109,0.0004109
20,143.791,0.53604,0.42426,0.91094,0.8726,0.78795,0.89197,0.80858,0.50148,0.66787,0.84765,0.00040595,0.00040595,0.00040595
21,151.051,0.48141,0.41073,0.88674,0.77199,0.8421,0.86353,0.77598,0.51408,0.75066,0.8546,0.000401,0.000401,0.000401
22,157.899,0.50845,0.39183,0.89806,0.86335,0.84737,0.91172,0.83394,0.44101,0.6121,0.82949,0.00039605,0.00039605,0.00039605
23,164.861,0.50313,0.36157,0.90438,0.85237,0.84235,0.92017,0.85158,0.42042,0.62784,0.82264,0.0003911,0.0003911,0.0003911
24,171.91,0.47998,0.35796,0.87966,0.8932,0.86667,0.91562,0.82548,0.43884,0.6671,0.84358,0.00038615,0.00038615,0.00038615
25,178.964,0.46238,0.35119,0.88051,0.86794,0.74085,0.88232,0.77796,0.55668,0.74317,0.86987,0.0003812,0.0003812,0.0003812
26,186.064,0.4313,0.33852,0.86957,0.92986,0.77358,0.88694,0.82735,0.3903,0.64729,0.81689,0.00037625,0.00037625,0.00037625
27,193.055,0.44037,0.34311,0.86962,0.74915,0.80158,0.85097,0.78735,0.38489,1.04408,0.8142,0.0003713,0.0003713,0.0003713
28,199.929,0.43191,0.33167,0.86492,0.82794,0.85509,0.91456,0.87026,0.37131,0.68225,0.80599,0.00036635,0.00036635,0.00036635
29,206.907,0.44341,0.33078,0.87967,0.86949,0.90308,0.94007,0.85743,0.47098,0.48517,0.84173,0.0003614,0.0003614,0.0003614
30,214.106,0.42949,0.32732,0.86775,0.87812,0.88965,0.94305,0.86016,0.47087,0.5569,0.84115,0.00035645,0.00035645,0.00035645
31,221.125,0.42112,0.30077,0.8498,0.82933,0.80303,0.90711,0.8389,0.40446,0.59998,0.8102,0.0003515,0.0003515,0.0003515
32,228.16,0.4537,0.3049,0.88532,0.87478,0.77846,0.88296,0.80148,0.48858,0.68064,0.8445,0.00034655,0.00034655,0.00034655
33,235.176,0.41611,0.27515,0.85298,0.83018,0.88295,0.9265,0.82811,0.52436,0.57977,0.85079,0.0003416,0.0003416,0.0003416
34,242.183,0.41032,0.26817,0.85653,0.83373,0.82856,0.90602,0.85747,0.34858,0.59243,0.80227,0.00033665,0.00033665,0.00033665
35,249.146,0.41185,0.26473,0.8541,0.8247,0.86081,0.92591,0.85528,0.4105,0.55957,0.81283,0.0003317,0.0003317,0.0003317
36,256.331,0.40927,0.28523,0.85561,0.90643,0.86602,0.94284,0.8866,0.37355,0.52975,0.80031,0.00032675,0.00032675,0.00032675
37,263.567,0.4054,0.25744,0.8532,0.87622,0.83315,0.92497,0.85196,0.39279,0.56352,0.80956,0.0003218,0.0003218,0.0003218
38,270.529,0.37226,0.24544,0.83251,0.88511,0.88107,0.93389,0.87229,0.39828,0.49022,0.80575,0.00031685,0.00031685,0.00031685
