epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89486,2.80898,14.5571,3.153,0.58212,0.20556,0.12591,0.07708,1.63381,11.3933,1.78683,0.00011,0.00011,0.00011
2,15.5958,1.26461,3.76278,1.36839,0.25992,0.71172,0.4407,0.26757,1.36871,3.37896,1.36572,0.000222773,0.000222773,0.000222773
3,22.9269,0.90954,2.28591,1.11134,0.57159,0.61565,0.6373,0.48938,1.00678,2.63785,1.09706,0.000333268,0.000333268,0.000333268
4,30.5046,0.82813,1.79144,1.06,0.56828,0.65231,0.65141,0.52613,0.80894,2.5987,0.99811,0.000441487,0.000441487,0.000441487
5,38.2333,0.7516,1.39432,1.0155,0.60582,0.73774,0.70161,0.56982,0.8228,1.6155,1.0006,0.0004802,0.0004802,0.0004802
6,45.5638,0.7474,1.12609,1.00888,0.55112,0.81737,0.81797,0.66751,0.77457,1.40161,0.96876,0.00047525,0.00047525,0.00047525
7,52.8223,0.70237,0.99717,0.98659,0.6495,0.75615,0.79426,0.63921,0.73349,1.36033,0.97257,0.0004703,0.0004703,0.0004703
8,60.2977,0.65952,0.93727,0.96201,0.70928,0.76542,0.81159,0.62054,0.92076,1.20763,1.0531,0.00046535,0.00046535,0.00046535
9,67.3534,0.6232,0.78829,0.94199,0.75469,0.79276,0.85668,0.70217,0.73016,1.01109,0.95294,0.0004604,0.0004604,0.0004604
10,74.6079,0.61027,0.75017,0.93889,0.56925,0.81301,0.79488,0.68777,0.60879,1.25914,0.89325,0.00045545,0.00045545,0.00045545
11,81.8063,0.58677,0.71043,0.9274,0.80964,0.79889,0.88825,0.78974,0.52556,0.78163,0.84954,0.0004505,0.0004505,0.0004505
12,89.1646,0.63354,0.63237,0.94544,0.7767,0.82588,0.91481,0.81742,0.54073,0.77048,0.85606,0.00044555,0.00044555,0.00044555
13,96.5421,0.55455,0.53592,0.92329,0.76022,0.78738,0.87384,0.75659,0.62393,0.8786,0.89512,0.0004406,0.0004406,0.0004406
14,103.824,0.57094,0.5346,0.90077,0.81854,0.81805,0.90758,0.78726,0.61112,0.75413,0.88216,0.00043565,0.00043565,0.00043565
15,110.995,0.5493,0.52543,0.90767,0.87079,0.7806,0.89541,0.79163,0.56041,0.8248,0.85758,0.0004307,0.0004307,0.0004307
16,118.372,0.54708,0.50544,0.90928,0.84014,0.86355,0.90166,0.76572,0.67113,0.7512,0.90788,0.00042575,0.00042575,0.00042575
17,125.769,0.55153,0.45342,0.90729,0.8461,0.84923,0.90679,0.83135,0.45276,0.58578,0.83028,0.0004208,0.0004208,0.0004208
18,133.125,0.53875,0.43983,0.90854,0.81982,0.85351,0.90644,0.77454,0.64519,0.63907,0.89853,0.00041585,0.00041585,0.00041585
19,140.425,0.53129,0.41974,0.89329,0.85324,0.83144,0.89008,0.73821,0.72997,0.82537,0.95051,0.0004109,0.0004109,0.0004109
20,147.636,0.51193,0.41937,0.88913,0.82845,0.8765,0.89042,0.7695,0.58449,0.77477,0.89182,0.00040595,0.00040595,0.00040595
21,154.802,0.50519,0.40922,0.87326,0.82349,0.83977,0.89672,0.79688,0.52157,0.71856,0.85475,0.000401,0.000401,0.000401
22,162.111,0.51816,0.39274,0.89511,0.83233,0.87853,0.89285,0.79952,0.52081,0.68349,0.8565,0.00039605,0.00039605,0.00039605
23,169.246,0.50215,0.38599,0.88781,0.7734,0.85856,0.87201,0.72484,0.75164,0.91971,0.94074,0.0003911,0.0003911,0.0003911
24,176.396,0.48093,0.36821,0.87246,0.81111,0.88815,0.89817,0.8081,0.50323,0.71329,0.84217,0.00038615,0.00038615,0.00038615
25,183.519,0.44974,0.34766,0.86884,0.8006,0.8051,0.86083,0.71894,0.75864,0.87883,0.93099,0.0003812,0.0003812,0.0003812
26,191.221,0.44241,0.35584,0.86767,0.84011,0.84498,0.87752,0.75502,0.62495,0.70956,0.90191,0.00037625,0.00037625,0.00037625
27,198.303,0.43154,0.34043,0.85682,0.88302,0.87501,0.90984,0.8098,0.55553,0.59127,0.87474,0.0003713,0.0003713,0.0003713
28,205.562,0.42825,0.32147,0.85296,0.83527,0.88126,0.89888,0.77624,0.61017,0.67079,0.88099,0.00036635,0.00036635,0.00036635
29,212.823,0.46814,0.31687,0.86573,0.8164,0.84158,0.88313,0.79901,0.45611,0.64489,0.82427,0.0003614,0.0003614,0.0003614
30,219.959,0.47956,0.33248,0.87153,0.84021,0.83957,0.88252,0.75111,0.64905,0.77479,0.90089,0.00035645,0.00035645,0.00035645
31,227.219,0.45605,0.29924,0.86358,0.85189,0.83584,0.87739,0.78427,0.52738,0.69239,0.8432,0.0003515,0.0003515,0.0003515
32,234.433,0.41436,0.27732,0.84483,0.82386,0.84264,0.87282,0.80135,0.45496,0.69468,0.82254,0.00034655,0.00034655,0.00034655
33,241.622,0.43905,0.28233,0.86798,0.86269,0.83207,0.89132,0.78657,0.56483,0.60002,0.85614,0.0003416,0.0003416,0.0003416
34,248.82,0.4452,0.27815,0.85947,0.8693,0.83425,0.88028,0.82357,0.42014,0.59912,0.80406,0.00033665,0.00033665,0.00033665
35,256.145,0.41555,0.26509,0.85672,0.84534,0.90173,0.9072,0.81711,0.50574,0.53069,0.857,0.0003317,0.0003317,0.0003317
36,263.304,0.43624,0.26618,0.85106,0.86593,0.85094,0.90063,0.81738,0.46833,0.61371,0.83032,0.00032675,0.00032675,0.00032675
37,270.898,0.39264,0.2615,0.84116,0.86274,0.87129,0.90289,0.79626,0.58372,0.69336,0.88117,0.0003218,0.0003218,0.0003218
